timestamp,x,y,z
1632843902.25122,-22,-3,62
1632843902.28247,-22,-1,62
1632843902.31373,-27,-4,58
1632843902.34498,-26,-4,59
1632843902.37623,-24,-3,60
1632843902.40748,-29,-4,57
1632843902.43873,-26,-3,59
1632843902.46998,-23,-3,60
1632843902.50123,-24,-2,59
1632843902.53249,-27,-2,59
1632843902.56374,-27,-1,59
1632843902.59499,-26,-1,59
1632843902.62624,-25,0,59
1632843902.65749,-24,1,60
1632843902.68874,-24,0,60
1632843902.71999,-23,0,60
1632843902.75125,-24,0,60
1632843902.7825,-22,0,60
1632843902.81375,-25,0,60
1632843902.845,-26,1,59
1632843902.87625,-25,1,59
1632843902.9075,-26,0,60
1632843902.93875,-27,1,58
1632843902.97001,-23,-1,59
1632843903.00126,-27,-1,58
1632843903.03251,-28,-1,57
1632843903.06376,-28,-1,58
1632843903.09501,-27,-1,58
1632843903.12626,-30,0,57
1632843903.15751,-26,-1,59
1632843903.18877,-25,-1,60
1632843903.22002,-27,-1,58
1632843903.25127,-28,-2,58
1632843903.28252,-27,-1,59
1632843903.31377,-27,-1,58
1632843903.34502,-27,-1,59
1632843903.37627,-28,-1,58
1632843903.40753,-28,-1,58
1632843903.43878,-27,-1,58
1632843903.47003,-28,-1,58
1632843903.50128,-28,-1,58
1632843903.53253,-27,-1,59
1632843903.56378,-27,-1,59
1632843903.59503,-26,-1,58
1632843903.62629,-27,-1,58
1632843903.65754,-28,-1,58
1632843903.68879,-28,-1,58
1632843903.72004,-27,-1,58
1632843903.75129,-28,-1,58
1632843903.78254,-28,-1,58
1632843903.81379,-27,-1,58
1632843903.84505,-27,-1,58
1632843903.8763,-27,-1,59
1632843903.90755,-26,-1,58
1632843903.9388,-28,-1,58
1632843903.97005,-27,-1,58
1632843904.0013,-27,-1,58
1632843904.03256,-27,-1,59
1632843904.06381,-28,-1,58
1632843904.09506,-28,-1,58
1632843904.12631,-27,-1,59
1632843904.15756,-27,-1,58
1632843904.18881,-29,-1,57
1632843904.22006,-29,-1,57
1632843904.25132,-27,-1,58
1632843904.28257,-30,-3,58
1632843904.31382,-26,-1,58
1632843904.34507,-27,1,59
1632843904.37632,-28,0,58
1632843904.40757,-28,-1,58
1632843904.43882,-29,-1,58
1632843904.47008,-28,-1,58
1632843904.50133,-27,-1,58
1632843904.53258,-27,-1,59
1632843904.56383,-28,-1,58
1632843904.59508,-27,-1,58
1632843904.62633,-26,-1,59
1632843904.65758,-27,-2,58
1632843904.68884,-28,-2,58
1632843904.72009,-27,-2,58
1632843904.75134,-28,-2,58
1632843904.78259,-27,-2,59
1632843904.81384,-27,-2,58
1632843904.84509,-27,-2,58
1632843904.87634,-28,-2,58
1632843904.9076,-27,-2,58
1632843904.93885,-28,-2,58
1632843904.9701,-27,-2,58
1632843905.00135,-27,-2,58
1632843905.0326,-27,-2,58
1632843905.06385,-28,-2,58
1632843905.0951,-28,-2,58
1632843905.12636,-27,-2,59
1632843905.15761,-28,-2,58
1632843905.18886,-28,-2,58
1632843905.22011,-28,-2,58
1632843905.25136,-28,-2,58
1632843905.28261,-28,-2,58
1632843905.31386,-28,-2,58
1632843905.34512,-28,-2,58
1632843905.37637,-28,-2,58
1632843905.40762,-28,-2,58
1632843905.43887,-28,-3,58
1632843905.47012,-28,-2,58
1632843905.50137,-29,-2,58
1632843905.53262,-28,-2,58
1632843905.56388,-28,-3,58
1632843905.59513,-28,-2,58
1632843905.62638,-29,-2,58
1632843905.65763,-28,-3,58
1632843905.68888,-29,-3,58
1632843905.72013,-28,-3,57
1632843905.75138,-28,-3,58
1632843905.78264,-28,-3,58
1632843905.81389,-29,-3,57
1632843905.84514,-29,-3,57
1632843905.87639,-28,-3,58
1632843905.90764,-28,-2,58
1632843905.93889,-28,-3,58
1632843905.97014,-29,-3,58
